Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,190,9,Some Random Commen with Id 0
1,0,7,172,5,Some Random Commen with Id 1
2,0,7,182,7,Some Random Commen with Id 2
3,0,7,195,3,Some Random Commen with Id 3
4,0,7,141,4,Some Random Commen with Id 4
5,0,7,164,3,Some Random Commen with Id 5
6,0,7,50,1,Some Random Commen with Id 6
7,0,7,179,3,Some Random Commen with Id 7
8,1,8,7,5,Some Random Commen with Id 8
9,2,0,80,9,Some Random Commen with Id 9
10,2,0,111,9,Some Random Commen with Id 10
11,2,0,106,4,Some Random Commen with Id 11
12,2,0,103,2,Some Random Commen with Id 12
13,2,0,48,2,Some Random Commen with Id 13
14,2,0,25,1,Some Random Commen with Id 14
15,3,3,145,7,Some Random Commen with Id 15
16,3,3,57,8,Some Random Commen with Id 16
17,4,7,171,3,Some Random Commen with Id 17
18,4,7,194,0,Some Random Commen with Id 18
19,5,9,114,4,Some Random Commen with Id 19
20,5,9,177,1,Some Random Commen with Id 20
21,5,9,16,1,Some Random Commen with Id 21
22,5,9,184,0,Some Random Commen with Id 22
23,6,4,169,0,Some Random Commen with Id 23
24,6,4,106,9,Some Random Commen with Id 24
25,6,4,53,0,Some Random Commen with Id 25
26,7,1,197,6,Some Random Commen with Id 26
27,7,1,107,5,Some Random Commen with Id 27
28,7,1,56,7,Some Random Commen with Id 28
29,8,6,80,0,Some Random Commen with Id 29
30,9,3,177,7,Some Random Commen with Id 30
31,9,3,122,2,Some Random Commen with Id 31
32,9,3,135,0,Some Random Commen with Id 32
33,9,3,74,6,Some Random Commen with Id 33
34,9,3,83,4,Some Random Commen with Id 34
35,9,3,158,9,Some Random Commen with Id 35
36,9,3,105,4,Some Random Commen with Id 36
37,9,3,29,8,Some Random Commen with Id 37
38,11,6,81,4,Some Random Commen with Id 38
39,11,6,130,1,Some Random Commen with Id 39
40,11,6,35,8,Some Random Commen with Id 40
41,11,6,176,3,Some Random Commen with Id 41
42,11,6,136,3,Some Random Commen with Id 42
43,11,6,21,5,Some Random Commen with Id 43
44,11,6,97,1,Some Random Commen with Id 44
45,13,5,131,2,Some Random Commen with Id 45
46,13,5,164,5,Some Random Commen with Id 46
47,13,5,8,3,Some Random Commen with Id 47
48,13,5,166,0,Some Random Commen with Id 48
49,13,5,28,5,Some Random Commen with Id 49
50,13,5,33,4,Some Random Commen with Id 50
51,13,5,158,8,Some Random Commen with Id 51
52,13,5,54,9,Some Random Commen with Id 52
53,13,5,81,9,Some Random Commen with Id 53
54,14,5,150,1,Some Random Commen with Id 54
55,14,5,103,3,Some Random Commen with Id 55
56,14,5,64,5,Some Random Commen with Id 56
57,15,5,160,3,Some Random Commen with Id 57
58,15,5,199,2,Some Random Commen with Id 58
59,15,5,5,2,Some Random Commen with Id 59
60,15,5,79,8,Some Random Commen with Id 60
61,15,5,119,0,Some Random Commen with Id 61
62,15,5,116,8,Some Random Commen with Id 62
63,15,5,177,6,Some Random Commen with Id 63
64,15,5,144,2,Some Random Commen with Id 64
65,16,7,33,5,Some Random Commen with Id 65
66,16,7,149,9,Some Random Commen with Id 66
67,16,7,127,3,Some Random Commen with Id 67
68,16,7,75,8,Some Random Commen with Id 68
69,17,7,28,2,Some Random Commen with Id 69
70,17,7,4,4,Some Random Commen with Id 70
71,18,1,33,9,Some Random Commen with Id 71
72,18,1,198,2,Some Random Commen with Id 72
73,18,1,193,5,Some Random Commen with Id 73
74,18,1,175,2,Some Random Commen with Id 74
75,19,1,65,5,Some Random Commen with Id 75
76,19,1,171,0,Some Random Commen with Id 76
77,19,1,169,2,Some Random Commen with Id 77
78,19,1,47,4,Some Random Commen with Id 78
79,19,1,64,8,Some Random Commen with Id 79
80,19,1,31,1,Some Random Commen with Id 80
81,19,1,154,2,Some Random Commen with Id 81
82,19,1,178,4,Some Random Commen with Id 82
83,19,1,38,0,Some Random Commen with Id 83
84,20,1,109,6,Some Random Commen with Id 84
85,20,1,142,4,Some Random Commen with Id 85
86,20,1,49,5,Some Random Commen with Id 86
87,20,1,101,5,Some Random Commen with Id 87
88,20,1,124,4,Some Random Commen with Id 88
89,20,1,155,5,Some Random Commen with Id 89
90,21,5,4,2,Some Random Commen with Id 90
91,21,5,74,8,Some Random Commen with Id 91
92,21,5,114,9,Some Random Commen with Id 92
93,21,5,128,1,Some Random Commen with Id 93
94,21,5,4,7,Some Random Commen with Id 94
95,21,5,81,3,Some Random Commen with Id 95
96,21,5,62,3,Some Random Commen with Id 96
97,21,5,121,3,Some Random Commen with Id 97
98,22,0,71,7,Some Random Commen with Id 98
99,22,0,60,8,Some Random Commen with Id 99
100,22,0,146,6,Some Random Commen with Id 100
101,23,5,137,4,Some Random Commen with Id 101
102,24,6,164,0,Some Random Commen with Id 102
103,24,6,122,9,Some Random Commen with Id 103
104,24,6,194,7,Some Random Commen with Id 104
105,25,3,103,8,Some Random Commen with Id 105
106,25,3,97,8,Some Random Commen with Id 106
107,26,2,24,8,Some Random Commen with Id 107
108,26,2,81,7,Some Random Commen with Id 108
109,26,2,151,5,Some Random Commen with Id 109
110,26,2,153,5,Some Random Commen with Id 110
111,27,1,45,9,Some Random Commen with Id 111
112,27,1,164,1,Some Random Commen with Id 112
113,27,1,50,9,Some Random Commen with Id 113
114,29,0,134,1,Some Random Commen with Id 114
115,30,1,82,9,Some Random Commen with Id 115
116,30,1,163,6,Some Random Commen with Id 116
117,30,1,171,9,Some Random Commen with Id 117
118,31,3,54,8,Some Random Commen with Id 118
119,31,3,18,6,Some Random Commen with Id 119
120,31,3,91,7,Some Random Commen with Id 120
121,31,3,166,5,Some Random Commen with Id 121
122,31,3,71,1,Some Random Commen with Id 122
123,31,3,111,7,Some Random Commen with Id 123
124,31,3,120,3,Some Random Commen with Id 124
125,31,3,13,8,Some Random Commen with Id 125
126,32,8,3,8,Some Random Commen with Id 126
127,32,8,30,3,Some Random Commen with Id 127
128,33,5,167,7,Some Random Commen with Id 128
129,34,1,85,0,Some Random Commen with Id 129
130,34,1,35,2,Some Random Commen with Id 130
131,34,1,130,5,Some Random Commen with Id 131
132,34,1,136,5,Some Random Commen with Id 132
133,34,1,172,1,Some Random Commen with Id 133
134,34,1,75,9,Some Random Commen with Id 134
135,34,1,12,8,Some Random Commen with Id 135
136,34,1,34,8,Some Random Commen with Id 136
137,34,1,78,0,Some Random Commen with Id 137
138,35,4,148,7,Some Random Commen with Id 138
139,35,4,7,9,Some Random Commen with Id 139
140,35,4,110,8,Some Random Commen with Id 140
141,35,4,170,2,Some Random Commen with Id 141
142,36,2,151,6,Some Random Commen with Id 142
143,36,2,44,1,Some Random Commen with Id 143
144,36,2,44,6,Some Random Commen with Id 144
145,36,2,154,5,Some Random Commen with Id 145
146,36,2,79,5,Some Random Commen with Id 146
147,36,2,7,6,Some Random Commen with Id 147
148,36,2,116,7,Some Random Commen with Id 148
149,37,4,12,9,Some Random Commen with Id 149
150,37,4,162,3,Some Random Commen with Id 150
151,38,7,40,5,Some Random Commen with Id 151
152,38,7,126,6,Some Random Commen with Id 152
153,38,7,65,6,Some Random Commen with Id 153
